Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Haiti,HTI,1981,,26776,5738,204608,,,,,114753
High-income countries,,1981,,,,14690411,,,,,
Honduras,HND,1981,,51173,55688,158031,51173,,,,61708
Hong Kong,HKG,1981,,,,83769,,,,,
Hungary,HUN,1981,,150626,149104,142829,150626,,,,150626
Iceland,ISL,1981,,4442,4442,4426,,,,,
India,IND,1981,,1306136,435379,23617764,,,,,870757
Indonesia,IDN,1981,,45001,45001,4726071,,,,,2475048
Iran,IRN,1981,,446059,722923,1734710,738305,,,,92288
Iraq,IRQ,1981,,66122,81381,531458,50863,,,,406906
Ireland,IRL,1981,,26124,55151,72603,,,,,
Isle of Man,IMN,1981,,,,752,,,,,
Israel,ISR,1981,,79770,81523,90171,72757,,,,61361
Italy,ITA,1981,,,,632016,,,,,
Jamaica,JAM,1981,,23483,22279,59229,,,,,19268
Japan,JPN,1981,,1181138,,1550451,1070898,,,,1338622
Jersey,JEY,1981,,,,854,,,,,
Jordan,JOR,1981,,73887,73887,95947,36487,,,,
Kazakhstan,KAZ,1981,,,,386806,,,,,
Kenya,KEN,1981,,,,746318,,,,,
Kiribati,KIR,1981,,577,398,2148,,,,,1354
Kosovo,OWID_KOS,1981,,,,50161,,,,,
Kuwait,KWT,1981,,40910,40910,51527,36767,,,,
Kyrgyzstan,KGZ,1981,,,,111040,,,,,
Land-locked developing countries (LLDC),,1981,,,,8446433,,,,,
Laos,LAO,1981,,8385,8385,131280,8385,,,,4792
Latin America and the Caribbean (UN),,1981,,,,11112519,,,,,
Latvia,LVA,1981,,,,35772,,,,,
Least developed countries,,1981,,,,17161546,,,,,
Lebanon,LBN,1981,,1742,3483,90228,,,,,
Lesotho,LSO,1981,,27714,26724,53617,24250,,,,40086
Less developed regions,,1981,,,,105327280,,,,,
"Less developed regions, excluding China",,1981,,,,83568800,,,,,
"Less developed regions, excluding least developed countries",,1981,,,,88165736,,,,,
Liberia,LBR,1981,,,,84647,,,,,
Libya,LBY,1981,,72858,72858,149293,71770,,,,84820
Liechtenstein,LIE,1981,,,,367,,,,,
Lithuania,LTU,1981,,,,51492,,,,,
Low-income countries,,1981,,,,9779235,,,,,
Lower-middle-income countries,,1981,,,,52210880,,,,,
Luxembourg,LUX,1981,,,,4316,,,,,
Macao,MAC,1981,,,,3438,,,,,
Madagascar,MDG,1981,,,,395589,,,,,92621
Malawi,MWI,1981,,177310,153131,303488,171937,,,,231040
Malaysia,MYS,1981,,260763,272616,397268,,,,,359537
Maldives,MDV,1981,,66,66,7260,2586,,,,530
Mali,MLI,1981,,,,347050,,,,,56619
Malta,MLT,1981,,,4240,5799,,,,,
Marshall Islands,MHL,1981,,,,1536,,,,,
Martinique,MTQ,1981,,,,5494,,,,,
Mauritania,MRT,1981,,10470,10470,61261,26176,,,,33156
Mauritius,MUS,1981,,19063,19295,23077,,,,,20225
Mayotte,MYT,1981,,,,2396,,,,,
Mexico,MEX,1981,,952750,2193540,2258616,731180,,,,908436
Micronesia (country),FSM,1981,,,,3151,,,,,
Moldova,MDA,1981,,,,84301,,,,,
Monaco,MCO,1981,,,,217,,,,,
Mongolia,MNG,1981,,44787,49380,62139,6890,,,,30432
Montenegro,MNE,1981,,,,11263,,,,,
Montserrat,MSR,1981,,,,196,,,,,
More developed regions,,1981,,,,15830371,,,,,
Morocco,MAR,1981,,,,723804,,,,,
Mozambique,MOZ,1981,,244540,139737,526351,139737,,,,200872
Myanmar,MMR,1981,,49912,,1033396,,,,,149737
Namibia,NAM,1981,,,,37475,,,,,
Nauru,NRU,1981,,,,219,,,,,
Nepal,NPL,1981,,84995,5312,577590,10624,,,,169989
Netherlands,NLD,1981,,170067,170067,179729,161209,,161209,,
New Caledonia,NCL,1981,,,,3971,,,,,
New Zealand,NZL,1981,,36344,,50205,38868,,38868,,
Nicaragua,NIC,1981,,29546,30830,134811,25692,,,,84784
Niger,NER,1981,,16919,16919,322937,53577,,,,78955
Nigeria,NGA,1981,,,,3315260,,,,,675671
Niue,NIU,1981,,8,78,64,70,,70,,98
North Korea,PRK,1981,,185192,181631,365533,110403,,,,185192
North Macedonia,MKD,1981,,,,38179,,,,,
Northern America (UN),,1981,,,,4085615,,,,,
Northern Mariana Islands,MNP,1981,,,,532,,,,,
